"fips","name","population","population18To34","population18To34_me","population18To34_p","population18To34_pme","white","white_me","white_p","white_pme","minority","minority_me","minority_p","minority_pme","neverMarried","neverMarried_me","neverMarried_p","neverMarried_pme","liveAlone","liveAlone_me","liveAlone_p","liveAlone_pme","educationBachelor","educationBachelor_me","educationBachelor_p","educationBachelor_pme","civilian","veteran","veteran_me","veteran_p","veteran_pme","foreignBorn","foreignBorn_me","foreignBorn_p","foreignBorn_pme","otherLanguage","otherLanguage_me","otherLanguage_p","otherLanguage_pme","medianEarnings","medianEarnings_me","povertyUniverse","poverty","poverty_me","poverty_p","poverty_pme","employed","employed_me","employed_p","employed_pme","commuter","droveToWork","droveToWork_me","droveToWork_p","droveToWork_pme","liveWithParent","liveWithParent_me","liveWithParent_p","liveWithParent_pme"
"01","Alabama","3893888","1113696","3936","28.6",".10000","812247","3539","72.8999999994412",".20000","301449","2328","27.0999999998603",".20000","397597","2637","35.6999999997206",".20000","60836","1080","5.5",".10000","135690","1597","12.1999999999534",".10000","1091415","96752","1356","8.89999999990687",".10000","14816","1341","1.29999999998836",".10000","27373","970","2.5",".10000","32637","","1031922","201725","2896","19.5",".30000","724400","3389","65",".20000","708960","660962","3815","93.1999999992549",".20000","273085","2224","24.5",".20000"
"02","Alaska","401851","150766","1242","37.5",".30000","117365","1166","77.7999999998137",".40000","33401","708","22.1999999999534",".40000","54248","876","36",".50000","12914","452","8.59999999997672",".30000","23349","600","15.5",".40000","132664","17919","529","13.5",".40000","6594","889","4.39999999996508",".60000","17114","706","11.3999938964844",".50000","47364","","126177","14861","792","11.7999954223633",".60000","104684","1126","69.3999999994412",".50000","101487","72875","1078","71.7999999998137",".60000","18977","544","12.5999999999767",".30000"
"04","Arizona","2718215","812090","3331","29.9",".10000","596339","3012","73.3999999994412",".20000","215751","1967","26.5999999998603",".20000","318650","2341","39.1999999997206",".20000","59009","1061","7.29999999998836",".10000","117650","1481","14.5",".20000","790546","85972","1274","10.8999999999069",".20000","51464","2480","6.29999999998836",".30000","176944","2394","21.7999877929688",".30000","34452","","710192","107655","2129","15.1999969482422",".30000","567318","2957","69.8999999994412",".20000","555021","479570","3236","86.3999999994412",".20000","156031","1693","19.1999999999534",".20000"
"05","Arkansas","2286435","614186","2958","26.9",".10000","503086","2765","81.8999999994412",".20000","111100","1435","18.0999999998603",".20000","197243","1874","32.0999999996275",".30000","33401","801","5.39999999996508",".10000","71263","1160","11.5999999999767",".20000","606156","57793","1048","9.5",".20000","7940","982","1.29999999998836",".20000","14105","697","2.29999923706055",".10000","30606","","568519","105850","2104","18.5999908447266",".30000","411585","2564","67",".30000","402834","371571","2873","92.1999999992549",".20000","129482","1543","21.0999999998603",".20000"
"06","California","23667902","7507688","9994","31.7",".00000","4833122","8657","64.3999999994412",".10000","2674566","6799","35.5999999996275",".10000","3348235","7484","44.5999999996275",".10000","675240","3575","9",".00000","1220128","4748","16.2999999998137",".10000","7289439","690640","3614","9.5",".00000","1311339","12282","17.5",".20000","1812680","7614","24.0999908447266",".10000","36961","","6481328","955508","6340","14.6999969482422",".10000","5337024","8974","71.0999999996275",".10000","5186302","4315511","9673","83.1999999992549",".10000","1515054","5256","20.1999999999534",".10000"
"08","Colorado","2889964","987198","3559","34.2",".10000","817541","3380","82.7999999998137",".20000","169657","1764","17.1999999999534",".20000","397918","2586","40.2999999998137",".20000","100626","1376","10.1999999999534",".10000","200891","1908","20.2999999998137",".20000","955617","107506","1420","11.1999999999534",".10000","40160","2196","4.09999999997672",".20000","100908","1837","10.1999969482422",".20000","36886","","843585","99771","2055","11.7999954223633",".20000","729328","3259","73.8999999994412",".20000","709611","589542","3528","83.0999999996275",".20000","143211","1628","14.5",".20000"
"09","Connecticut","3107576","875613","3500","28.2",".10000","762599","3348","87.0999999996275",".20000","113014","1457","12.8999999999069",".20000","417886","2655","47.6999999997206",".20000","59990","1071","6.89999999996508",".10000","178064","1808","20.2999999998137",".20000","863494","75531","1198","8.69999999995343",".10000","59177","2659","6.79999999998836",".30000","99846","1830","11.3999938964844",".20000","37657","","776782","75057","1792","9.69999694824219",".20000","641181","3149","73.1999999992549",".20000","626782","544235","3450","86.7999999998137",".20000","250763","2119","28.5999999998603",".20000"
"10","Delaware","594338","178421","1560","30",".30000","144525","1460","81",".40000","33896","789","19",".40000","78697","1153","44.0999999996275",".50000","12112","481","6.79999999998836",".30000","26667","704","14.8999999999069",".40000","173982","17076","568","9.79999999993015",".30000","4836","764","2.69999999998254",".40000","8600","542","4.79999923706055",".30000","34775","","155951","21312","949","13.6999969482422",".60000","124929","1387","70",".50000","121928","106958","1525","87.6999999992549",".50000","43058","882","24.0999999998603",".40000"
"11","District of Columbia","638333","219231","1675","34.3",".30000","68148","1089","31.0999999998603",".40000","151083","1499","68.8999999994412",".40000","150568","1497","68.6999999992549",".40000","34604","799","15.7999999999302",".30000","58934","1021","26.8999999999069",".40000","215211","14021","517","6.5",".20000","15392","1352","7",".60000","20753","834","9.5",".40000","37977","","172398","34977","1204","20.2999877929688",".60000","150871","1498","68.7999999998137",".40000","147062","59827","1199","40.6999999997206",".70000","54762","988","25",".40000"
"12","Florida","9746324","2549662","6056","26.2",".10000","1895424","5454","74.2999999998137",".10000","654238","3448","25.6999999999534",".10000","1031350","4239","40.5",".10000","189628","1903","7.39999999996508",".10000","350808","2567","13.7999999999302",".10000","2481077","255319","2201","10.2999999999302",".10000","245017","5393","9.59999999997672",".20000","314017","3244","12.2999954223633",".10000","31955","","2253634","361760","3908","16.0999908447266",".20000","1843937","5397","72.2999999998137",".10000","1798247","1597560","5952","88.7999999998137",".10000","570346","3234","22.3999999999069",".10000"
