"fips","name","population","population18To34","population18To34_me","population18To34_p","population18To34_pme","white","white_me","white_p","white_pme","minority","minority_me","minority_p","minority_pme","neverMarried","neverMarried_me","neverMarried_p","neverMarried_pme","liveAlone","liveAlone_me","liveAlone_p","liveAlone_pme","educationBachelor","educationBachelor_me","educationBachelor_p","educationBachelor_pme","civilian","veteran","veteran_me","veteran_p","veteran_pme","foreignBorn","foreignBorn_me","foreignBorn_p","foreignBorn_pme","otherLanguage","otherLanguage_me","otherLanguage_p","otherLanguage_pme","medianEarnings","medianEarnings_me","povertyUniverse","poverty","poverty_me","poverty_p","poverty_pme","employed","employed_me","employed_p","employed_pme","commuter","droveToWork","droveToWork_me","droveToWork_p","droveToWork_pme","liveWithParent","liveWithParent_me","liveWithParent_p","liveWithParent_pme"
"21","Kentucky","4041769","967543","3471","23.9",".10000","844289","5111","87.2999999998137",".20000","123254","2162","12.6999999999534",".20000","422955","2490","43.7",".20000","69663","1059","7.19999999995343",".10000","141124","1493","14.6",".10000","952949","39170","797","4.1",".10000","31416","779","3.2",".10000","57497","963","5.9",".10000","33845","","912491","163381","1748","17.8999999999069",".20000","655698","2999","67.7999999998137",".20000","656900","609846","2912","92.7999999998137",".10000","208530","1799","21.5999999998603",".20000"
"22","Louisiana","4468976","1067065","3647","23.9",".10000","636703","4621","59.6999999997206",".30000","430362","3900","40.2999999998137",".30000","568920","2851","53.3",".20000","77033","1113","7.19999999995343",".10000","150557","1543","14.1",".10000","1054512","46077","864","4.4",".10000","35689","831","3.3",".10000","84795","1167","7.9",".10000","32448","","1006890","219955","2019","21.7999999998137",".20000","669123","3052","62.6999999997206",".20000","666763","609586","2936","91.3999999994412",".10000","282624","2082","26.5",".20000"
"23","Maine","1274923","260667","1843","20.4",".10000","248475","2797","95.2999999998137",".30000","12192","687","4.69999999995343",".30000","135337","1407","51.9",".40000","19094","555","7.29999999998836",".20000","42637","821","16.4",".30000","258303","12306","447","4.8",".20000","7461","380","2.9",".10000","16725","520","6.4",".20000","33771","","244395","34171","805","14",".30000","192964","1637","74",".30000","190964","170838","1556","89.5",".30000","51419","899","19.6999999999534",".30000"
"24","Maryland","5296486","1191723","4595","22.5",".10000","664078","5887","55.6999999997206",".40000","527645","5324","44.2999999998137",".40000","673216","3666","56.5",".20000","91263","1432","7.69999999995343",".10000","302037","2552","25.3",".20000","1172878","53974","1105","4.6",".10000","162143","2042","13.6",".20000","195588","2235","16.4",".20000","42245","","1128433","120060","1890","10.5999999999767",".20000","855486","4050","71.7999999998137",".20000","856050","725460","3784","84.6999999992549",".20000","298579","2538","25.0999999998603",".20000"
"25","Massachusetts","6349097","1500175","5118","23.6",".10000","1136098","7460","75.6999999992549",".30000","364077","4525","24.2999999998137",".30000","924102","4249","61.6",".20000","118225","1629","7.89999999996508",".10000","467873","3148","31.2",".20000","1497202","36867","915","2.5",".10000","245641","2502","16.4",".20000","352954","2973","23.5",".20000","44541","","1382239","162383","2195","11.6999999999534",".20000","1093991","4550","72.8999999994412",".20000","1073153","828694","4059","77.1999999992549",".20000","372411","2831","24.7999999998137",".20000"
"26","Michigan","9938444","2286377","5368","23",".10000","1705067","7432","74.5999999996275",".20000","581310","4626","25.3999999999069",".20000","1270665","4259","55.6",".10000","186061","1729","8.09999999997672",".10000","419040","2563","18.3",".10000","2284421","82470","1157","3.6",".00000","156194","1731","6.8",".10000","243375","1972","10.6",".10000","40695","","2180263","295198","2362","13.5",".10000","1648557","4745","72.0999999996275",".10000","1612542","1488043","4551","92.2999999998137",".10000","560033","2941","24.5",".10000"
"27","Minnesota","4919479","1139627","3786","23.2",".10000","957463","5491","84",".20000","182164","2619","16",".20000","629022","2997","55.2",".20000","105038","1297","9.19999999995343",".10000","276146","2066","24.2",".20000","1138703","37039","776","3.3",".10000","102574","1399","9.0",".10000","135116","1467","11.9",".10000","40727","","1084731","117416","1494","10.7999999999302",".10000","903384","3475","79.2999999998137",".20000","887760","777766","3274","87.5999999996275",".10000","227252","1884","19.8999999999069",".20000"
"28","Mississippi","2844658","688039","2922","24.2",".10000","390952","3631","56.7999999998137",".40000","297087","3225","43.1999999997206",".40000","355878","2258","51.7",".20000","39891","802","5.79999999998836",".10000","84425","1158","12.3",".20000","677713","27678","670","4.1",".10000","15133","542","2.2",".10000","35692","760","5.2",".10000","30930","","637396","136407","1591","21.3999999999069",".20000","427085","2438","62.0999999996275",".20000","428501","404158","2383","94.2999999998137",".10000","180052","1662","26.1999999999534",".20000"
"29","Missouri","5595211","1269531","4009","22.7",".10000","1026559","5725","80.8999999994412",".20000","242972","3015","19.0999999998603",".20000","631521","3029","49.7",".20000","109646","1327","8.59999999997672",".10000","238766","1934","18.8",".10000","1259847","52962","927","4.2",".10000","53640","1017","4.2",".10000","91282","1212","7.2",".10000","35044","","1200097","176319","1824","14.6999999999534",".10000","919731","3547","72.3999999994412",".20000","913117","842060","3422","92.1999999992549",".10000","271751","2057","21.3999999999069",".10000"
"30","Montana","902195","188098","1561","20.8",".20000","164333","2292","87.3999999994412",".50000","23765","951","12.5999999999767",".50000","96063","1185","51.1",".50000","15602","501","8.29999999993015",".30000","32815","720","17.4",".40000","185767","9860","400","5.3",".20000","3311","254","1.8",".10000","11523","432","6.1",".20000","29460","","178721","37755","840","21.0999999998603",".40000","133292","1364","70.8999999994412",".40000","132965","115463","1284","86.7999999998137",".40000","35317","745","18.7999999998137",".40000"
"31","Nebraska","1711263","396245","2233","23.2",".10000","329067","3224","83",".40000","67178","1589","17",".40000","202083","1708","51.0",".30000","37705","777","9.5",".20000","79666","1115","20.1",".30000","391752","17150","527","4.4",".10000","32209","785","8.1",".20000","47260","867","11.9",".20000","34286","","373044","50142","974","13.3999999999069",".20000","304676","2025","76.8999999994412",".30000","304252","279901","1958","92",".20000","71719","1061","18.0999999998603",".20000"
"32","Nevada","1998257","484096","2896","24.2",".10000","270218","3734","55.7999999998137",".60000","213878","3376","44.1999999997206",".60000","226887","2145","46.9",".30000","32542","856","6.69999999995343",".20000","60166","1155","12.4",".20000","479084","22879","719","4.8",".10000","120719","1734","24.9",".30000","150811","1923","31.2",".30000","37056","","472346","61082","1343","12.8999999999069",".30000","335919","2528","69.3999999994412",".30000","334215","298103","2408","89.1999999992549",".30000","87101","1380","18",".30000"
"33","New Hampshire","1235786","262610","1840","21.3",".10000","244450","2769","93.0999999996275",".30000","18160","836","6.89999999996508",".30000","140445","1428","53.5",".40000","18174","541","6.89999999996508",".20000","57195","945","21.8",".30000","262191","11183","426","4.3",".20000","13074","502","5.0",".20000","21831","593","8.3",".20000","39396","","242838","22632","658","9.29999999993015",".30000","202140","1664","77",".30000","197809","180411","1588","91.1999999992549",".30000","56360","938","21.5",".30000"
"34","New Jersey","8414350","1850190","5745","22",".10000","1045156","7390","56.5",".30000","805034","6591","43.5",".30000","1066929","4616","57.7",".20000","117008","1624","6.29999999998836",".10000","487713","3241","26.4",".20000","1843297","41655","974","2.3",".10000","435666","3310","23.5",".20000","602145","3850","32.5",".20000","44924","","1772911","180412","2318","10.1999999999534",".10000","1280221","4982","69.1999999992549",".20000","1257890","1016709","4521","80.7999999998137",".20000","582342","3521","31.5",".20000"
"35","New Mexico","1819046","408068","2276","22.4",".10000","150921","2326","37",".50000","257147","2938","63",".50000","213503","1756","52.3",".30000","27868","670","6.79999999998836",".20000","53556","922","13.1",".20000","400590","18111","542","4.5",".10000","48132","955","11.8",".20000","159220","1542","39.0",".30000","30478","","392281","87703","1275","22.3999999999069",".30000","258903","1907","63.3999999999069",".30000","260828","238299","1841","91.3999999994412",".20000","97089","1227","23.7999999998137",".30000"
"36","New York","18976457","4487222","8851","23.6",".00000","2471031","11324","55.0999999996275",".20000","2016191","10369","44.8999999999069",".20000","2724126","7304","60.7",".10000","352877","2814","7.89999999996508",".10000","1116017","4901","24.9",".10000","4470292","95895","1477","2.1",".00000","1137923","5326","25.4",".10000","1487492","6029","33.1",".10000","42213","","4241709","717841","4585","16.8999999999069",".10000","2886567","7481","64.2999999998137",".10000","2831904","1681063","5919","59.3999999999069",".10000","1323774","5306","29.5",".10000"
"37","North Carolina","8049313","2008387","4968","25",".10000","1302898","6534","64.8999999994412",".20000","705489","5017","35.0999999996275",".20000","973084","3742","48.5",".10000","155996","1583","7.79999999998836",".10000","381170","2438","19.0",".10000","1935649","92178","1221","4.8",".10000","201023","1954","10.0",".10000","266415","2054","13.3",".10000","35090","","1867592","268702","2250","14.3999999999069",".10000","1386907","4335","69.0999999996275",".10000","1428648","1326389","4259","92.7999999998137",".10000","373814","2416","18.5999999998603",".10000"
"38","North Dakota","642200","149332","1121","23.3",".20000","134363","1319","90",".30000","14969","489","10",".30000","83534","892","55.9",".40000","16092","415","10.7999999999302",".30000","26977","532","18.1",".30000","144419","6224","260","4.3",".20000","4047","233","2.7",".20000","8582","305","5.7",".20000","30426","","136907","23084","549","16.8999999999069",".40000","110024","1000","73.6999999992549",".40000","113306","102212","971","90.1999999992549",".30000","25133","514","16.7999999998137",".30000"
"39","Ohio","11353140","2570020","5705","22.6",".10000","2101653","8183","81.7999999998137",".20000","468367","4190","18.1999999999534",".20000","1364346","4433","53.1",".10000","223744","1895","8.69999999995343",".10000","470777","2718","18.3",".10000","2564976","107299","1319","4.2",".10000","95898","1361","3.7",".10000","200257","1795","7.8",".10000","37712","","2438053","335436","2518","13.7999999999302",".10000","1880379","5068","73.1999999992549",".10000","1847193","1689642","4852","91.5",".10000","594431","3037","23.0999999998603",".10000"
"40","Oklahoma","3450654","804246","3178","23.3",".10000","555892","4270","69.0999999996275",".30000","248354","3002","30.8999999999069",".30000","354697","2283","44.1",".20000","64077","1015","8",".10000","116218","1356","14.5",".20000","787743","37837","783","4.8",".10000","55322","1030","6.9",".10000","86751","1177","10.8",".10000","30987","","752175","140417","1620","18.6999999999534",".20000","538133","2727","66.8999999994412",".20000","543842","505264","2657","92.8999999994412",".10000","154818","1556","19.2999999998137",".20000"
