"fips","name","population","population18To34","population18To34_me","population18To34_p","population18To34_pme","white","white_me","white_p","white_pme","minority","minority_me","minority_p","minority_pme","neverMarried","neverMarried_me","neverMarried_p","neverMarried_pme","liveAlone","liveAlone_me","liveAlone_p","liveAlone_pme","educationBachelor","educationBachelor_me","educationBachelor_p","educationBachelor_pme","civilian","veteran","veteran_me","veteran_p","veteran_pme","foreignBorn","foreignBorn_me","foreignBorn_p","foreignBorn_pme","otherLanguage","otherLanguage_me","otherLanguage_p","otherLanguage_pme","medianEarnings","medianEarnings_me","povertyUniverse","poverty","poverty_me","poverty_p","poverty_pme","employed","employed_me","employed_p","employed_pme","commuter","droveToWork","droveToWork_me","droveToWork_p","droveToWork_pme","liveWithParent","liveWithParent_me","liveWithParent_p","liveWithParent_pme"
"01","Alabama","4040587","1087083","3279","26.9",".10000","782252","2921","72",".20000","304831","1953","28",".20000","461643","2352","42.5",".20000","69693","1059","6.39999999996508",".10000","145470","1515","13.3999999999069",".10000","1070898","74895","1197","7",".10000","15845","739","1.5",".10000","38995","1012","3.6",".10000","30556","","1037900","188447","2183","18.1999999999534",".20000","729534","2844","67.0999999996275",".20000","732906","693510","3346","94.5999999996275",".10000","285667","2085","26.2999999998137",".20000"
"02","Alaska","550043","168400","1257","30.6",".20000","122987","1137","73",".40000","45413","751","27",".40000","67479","895","40.0999999996275",".40000","13263","460","7.89999999996508",".30000","22781","598","13.5",".30000","149028","15668","545","10.5",".40000","8725","545","5.19999999995343",".30000","20600","725","12.2",".40000","40056","","157080","16106","644","10.2999999999302",".40000","102108","1061","60.5999999996275",".40000","119008","90183","1212","75.7999999998137",".50000","23241","604","13.7999999999302",".30000"
"04","Arizona","3665228","1024970","3793","28",".10000","701895","3325","68.5",".20000","323075","2396","31.5",".20000","468789","2822","45.6999999997206",".20000","83497","1366","8.09999999997672",".10000","150740","1818","14.6999999999534",".20000","1005691","71002","1262","7.09999999997672",".10000","99787","2063","9.69999999995343",".20000","238323","2778","23.3",".20000","34367","","984898","181197","2443","18.3999999999069",".20000","713580","3346","69.5999999996275",".20000","720100","630129","3720","87.5",".20000","203151","2095","19.7999999998137",".20000"
"05","Arkansas","2350725","594575","2452","25.3",".10000","479781","2273","80.6999999992549",".20000","114794","1215","19.2999999998137",".20000","221900","1649","37.2999999998137",".20000","36089","763","6.09999999997672",".10000","65287","1019","11",".20000","586979","41478","891","7.09999999997672",".10000","8757","550","1.5",".10000","20099","727","3.4",".10000","28586","","568792","107133","1647","18.7999999998137",".30000","411314","2143","69.1999999992549",".20000","411985","385327","2505","93.5",".20000","134252","1440","22.5999999998603",".20000"
"06","California","29760021","9064336","11082","30.5",".00000","4716212","8794","52",".10000","4348124","8505","48",".10000","4608776","8711","50.7999999998137",".10000","546300","3502","6",".00000","1518471","5740","16.7999999998137",".10000","8845705","451778","3190","5.09999999997672",".00000","2609593","10216","28.7999999998137",".10000","3222645","9977","35.6",".10000","40030","","8703619","1253949","6450","14.3999999999069",".10000","6291461","9832","69.3999999994412",".10000","6354585","5384831","10815","84.6999999992549",".10000","1973485","6491","21.7999999998137",".10000"
"08","Colorado","3294394","944768","3019","28.7",".10000","747253","2796","79.0999999996275",".20000","197515","1585","20.8999999999069",".20000","424375","2237","44.8999999999069",".20000","98320","1250","10.3999999999069",".10000","191653","1719","20.2999999998137",".20000","914678","64060","1106","7",".10000","49683","1302","5.29999999998836",".10000","97218","1582","10.3",".20000","35664","","899763","131562","1830","14.5999999999767",".20000","686957","2712","72.6999999992549",".20000","702475","602260","3097","85.6999999992549",".20000","157286","1566","16.5999999998603",".20000"
"09","Connecticut","3287116","926555","3601","28.2",".10000","749767","3358","80.8999999994412",".20000","176788","1805","19.0999999998603",".20000","499134","2872","53.8999999999069",".20000","60953","1170","6.59999999997672",".10000","223533","2183","24.0999999998603",".20000","913519","47291","1032","5.19999999995343",".10000","72656","1765","7.79999999998836",".20000","135666","2123","14.6",".20000","46569","","875292","63819","1472","7.29999999998836",".20000","689444","3258","74.3999999994412",".20000","686923","601554","3610","87.5999999996275",".20000","266671","2367","28.7999999998137",".20000"
"10","Delaware","666168","194444","1365","29.2",".20000","151410","1258","77.8999999994412",".30000","43034","738","22.0999999998603",".30000","97397","1061","50.0999999996275",".40000","13297","462","6.79999999998836",".20000","34542","732","17.7999999998137",".40000","190373","14642","528","7.69999999995343",".30000","6482","472","3.29999999998836",".20000","13506","592","6.9",".30000","37701","","181698","17437","671","9.59999999997672",".40000","145111","1239","74.5999999996275",".40000","146325","131227","1433","89.6999999992549",".40000","46181","839","23.7999999998137",".40000"
"11","District of Columbia","606900","203922","1624","33.6",".30000","67777","1083","33.1999999997206",".50000","136145","1434","66.7999999998137",".50000","154835","1499","75.8999999994412",".40000","28779","792","14.0999999999767",".40000","62155","1129","30.5",".50000","199749","9547","464","4.79999999998836",".20000","25003","1025","12.2999999999302",".50000","31119","1011","15.3",".50000","40183","","182605","32158","1027","17.5999999998603",".50000","136128","1434","66.7999999998137",".50000","137825","54907","1151","39.7999999998137",".70000","48217","1007","23.5999999998603",".40000"
"12","Florida","12937926","3320063","6934","25.7",".10000","2294392","6064","69.0999999996275",".10000","1025671","4289","30.8999999999069",".10000","1509586","5097","45.5",".10000","243308","2336","7.29999999998836",".10000","496724","3305","15",".10000","3240354","233389","2289","7.19999999995343",".10000","455569","4390","13.6999999999534",".10000","619813","4521","18.7",".10000","33527","","3190328","441028","3841","13.7999999999302",".10000","2419325","6191","72.8999999994412",".10000","2449299","2223153","6988","90.7999999998137",".10000","739699","3993","22.2999999998137",".10000"
